threshold,tp,fp,fn,tn,precision,recall,f1,accuracy,fpr,false_alarms_per_day
0.43999999999999995,117,36,102,3922,0.7647058823529411,0.5342465753424658,0.6290322580645161,0.9669619344026813,0.009095502779181405,0.21829206670035373
0.44499999999999995,116,35,103,3923,0.7682119205298014,0.5296803652968036,0.627027027027027,0.9669619344026813,0.008842849924204144,0.21222839818089945
0.44999999999999996,114,34,105,3924,0.7702702702702703,0.5205479452054794,0.6212534059945504,0.966722528130237,0.008590197069226882,0.20616472966144517
0.45499999999999996,114,33,105,3925,0.7755102040816326,0.5205479452054794,0.6229508196721312,0.9669619344026813,0.00833754421424962,0.2001010611419909
0.45999999999999996,113,32,106,3926,0.7793103448275862,0.5159817351598174,0.6208791208791208,0.9669619344026813,0.00808489135927236,0.19403739262253666
0.4649999999999999,113,30,106,3928,0.7902097902097902,0.5159817351598174,0.6243093922651934,0.96744074694757,0.007579585649317837,0.1819100555836281
0.4699999999999999,113,30,106,3928,0.7902097902097902,0.5159817351598174,0.6243093922651934,0.96744074694757,0.007579585649317837,0.1819100555836281
0.4749999999999999,113,30,106,3928,0.7902097902097902,0.5159817351598174,0.6243093922651934,0.96744074694757,0.007579585649317837,0.1819100555836281
0.4799999999999999,113,29,106,3929,0.795774647887324,0.5159817351598174,0.6260387811634348,0.9676801532200143,0.007326932794340576,0.17584638706417383
0.48499999999999993,111,28,108,3930,0.7985611510791367,0.5068493150684932,0.6201117318435754,0.96744074694757,0.007074279939363315,0.16978271854471955
0.48999999999999994,109,28,110,3930,0.7956204379562044,0.4977168949771689,0.6123595505617977,0.9669619344026813,0.007074279939363315,0.16978271854471955
0.49499999999999994,108,27,111,3931,0.8,0.4931506849315068,0.6101694915254237,0.9669619344026813,0.006821627084386054,0.1637190500252653
0.49999999999999994,106,27,113,3931,0.7969924812030075,0.4840182648401826,0.6022727272727273,0.9664831218577927,0.006821627084386054,0.1637190500252653
0.5049999999999999,106,27,113,3931,0.7969924812030075,0.4840182648401826,0.6022727272727273,0.9664831218577927,0.006821627084386054,0.1637190500252653
0.5099999999999999,106,27,113,3931,0.7969924812030075,0.4840182648401826,0.6022727272727273,0.9664831218577927,0.006821627084386054,0.1637190500252653
0.5149999999999999,104,27,115,3931,0.7938931297709924,0.4748858447488584,0.5942857142857143,0.966004309312904,0.006821627084386054,0.1637190500252653
0.5199999999999999,104,27,115,3931,0.7938931297709924,0.4748858447488584,0.5942857142857143,0.966004309312904,0.006821627084386054,0.1637190500252653
0.5249999999999999,103,27,116,3931,0.7923076923076923,0.4703196347031963,0.5902578796561605,0.9657649030404597,0.006821627084386054,0.1637190500252653
0.5299999999999999,103,26,116,3932,0.7984496124031008,0.4703196347031963,0.5919540229885057,0.966004309312904,0.006568974229408792,0.15765538150581102
0.5349999999999999,101,24,118,3934,0.808,0.4611872146118721,0.5872093023255814,0.966004309312904,0.00606366851945427,0.14552804446690248
0.5399999999999999,101,24,118,3934,0.808,0.4611872146118721,0.5872093023255814,0.966004309312904,0.00606366851945427,0.14552804446690248
0.5449999999999999,98,23,121,3935,0.8099173553719008,0.4474885844748858,0.5764705882352942,0.9655254967680154,0.005811015664477008,0.1394643759474482
0.5499999999999999,97,22,122,3936,0.8151260504201681,0.4429223744292237,0.5739644970414202,0.9655254967680154,0.0055583628094997475,0.13340070742799393
0.5549999999999999,96,22,123,3936,0.8135593220338984,0.4383561643835616,0.56973293768546,0.965286090495571,0.0055583628094997475,0.13340070742799393
0.5599999999999999,94,22,125,3936,0.8103448275862069,0.4292237442922374,0.5611940298507462,0.9648072779506823,0.0055583628094997475,0.13340070742799393
0.565,93,22,126,3936,0.808695652173913,0.4246575342465753,0.5568862275449102,0.964567871678238,0.0055583628094997475,0.13340070742799393
0.57,91,21,128,3937,0.8125,0.4155251141552511,0.5498489425981873,0.9643284654057936,0.005305709954522486,0.12733703890853965
0.575,88,18,131,3940,0.8301886792452831,0.4018264840182648,0.5415384615384615,0.9643284654057936,0.004547751389590703,0.10914603335017686
0.58,86,18,133,3940,0.8269230769230769,0.3926940639269406,0.5325077399380805,0.963849652860905,0.004547751389590703,0.10914603335017686
0.585,81,18,138,3940,0.8181818181818182,0.3698630136986301,0.5094339622641509,0.9626526214986832,0.004547751389590703,0.10914603335017686
0.59,80,18,139,3940,0.8163265306122449,0.365296803652968,0.5047318611987381,0.9624132152262389,0.004547751389590703,0.10914603335017686
0.595,79,18,140,3940,0.8144329896907216,0.3607305936073059,0.5,0.9621738089537946,0.004547751389590703,0.10914603335017686
0.5999999999999999,77,18,142,3940,0.8105263157894737,0.3515981735159817,0.4904458598726114,0.9616949964089059,0.004547751389590703,0.10914603335017686
0.6049999999999999,76,18,143,3940,0.8085106382978723,0.3470319634703196,0.4856230031948882,0.9614555901364615,0.004547751389590703,0.10914603335017686
0.6099999999999999,75,18,144,3940,0.8064516129032258,0.3424657534246575,0.4807692307692307,0.9612161838640172,0.004547751389590703,0.10914603335017686
0.6149999999999999,75,18,144,3940,0.8064516129032258,0.3424657534246575,0.4807692307692307,0.9612161838640172,0.004547751389590703,0.10914603335017686
0.6199999999999999,72,17,147,3941,0.8089887640449438,0.3287671232876712,0.46753246753246747,0.9607373713191285,0.004295098534613441,0.10308236483072258
0.6249999999999999,72,17,147,3941,0.8089887640449438,0.3287671232876712,0.46753246753246747,0.9607373713191285,0.004295098534613441,0.10308236483072258
0.6299999999999999,70,17,149,3941,0.8045977011494253,0.319634703196347,0.45751633986928103,0.9602585587742399,0.004295098534613441,0.10308236483072258
0.6349999999999999,70,17,149,3941,0.8045977011494253,0.319634703196347,0.45751633986928103,0.9602585587742399,0.004295098534613441,0.10308236483072258
0.6399999999999999,69,17,150,3941,0.8023255813953488,0.3150684931506849,0.45245901639344255,0.9600191525017956,0.004295098534613441,0.10308236483072258
0.6449999999999999,69,14,150,3944,0.8313253012048193,0.3150684931506849,0.45695364238410596,0.9607373713191285,0.0035371399696816574,0.08489135927235977
0.6499999999999999,68,14,151,3944,0.8292682926829268,0.3105022831050228,0.4518272425249169,0.9604979650466843,0.0035371399696816574,0.08489135927235977
0.6549999999999999,66,14,153,3944,0.825,0.3013698630136986,0.44147157190635444,0.9600191525017956,0.0035371399696816574,0.08489135927235977
0.6599999999999999,63,14,156,3944,0.8181818181818182,0.2876712328767123,0.42567567567567566,0.9593009336844626,0.0035371399696816574,0.08489135927235977
0.6649999999999999,63,13,156,3945,0.8289473684210527,0.2876712328767123,0.4271186440677966,0.9595403399569069,0.003284487114704396,0.07882769075290551
0.6699999999999999,60,10,159,3948,0.8571428571428571,0.273972602739726,0.4152249134948097,0.9595403399569069,0.0025265285497726125,0.0606366851945427
0.6749999999999999,59,10,160,3948,0.855072463768116,0.2694063926940639,0.4097222222222222,0.9593009336844626,0.0025265285497726125,0.0606366851945427
0.6799999999999999,59,8,160,3950,0.8805970149253731,0.2694063926940639,0.41258741258741255,0.9597797462293512,0.00202122283981809,0.048509348155634166
0.6849999999999999,56,7,163,3951,0.8888888888888888,0.2557077625570776,0.3971631205673759,0.9593009336844626,0.0017685699848408287,0.04244567963617989
0.69,55,7,164,3951,0.8870967741935484,0.2511415525114155,0.39145907473309605,0.9590615274120182,0.0017685699848408287,0.04244567963617989
0.695,55,7,164,3951,0.8870967741935484,0.2511415525114155,0.39145907473309605,0.9590615274120182,0.0017685699848408287,0.04244567963617989
0.7,55,7,164,3951,0.8870967741935484,0.2511415525114155,0.39145907473309605,0.9590615274120182,0.0017685699848408287,0.04244567963617989
0.7049999999999998,55,7,164,3951,0.8870967741935484,0.2511415525114155,0.39145907473309605,0.9590615274120182,0.0017685699848408287,0.04244567963617989
0.7099999999999999,55,7,164,3951,0.8870967741935484,0.2511415525114155,0.39145907473309605,0.9590615274120182,0.0017685699848408287,0.04244567963617989
