phase,strategy,window_k,decay_lambda,use_fusion,use_decay,physics_bounds_mode,anomaly_score,smoothing_window,threshold_mode,auroc,auroc_ci_lo,auroc_ci_hi,auprc,best_f1,best_threshold,best_precision,best_recall,false_alarm_rate_per_day,auroc_fused_u,auroc_fused_d,auroc_max_d,auroc_max_u,auroc_mean_u,auroc_composite_ud,f1_at_f1opt,f1_at_q90,f1_at_q95,f1_at_q99,prec_at_q95,rec_at_q95,fpr_at_q95,prec_at_q99,rec_at_q99,fpr_at_q99
hyperparam,historical,12,2.0,True,True,domain,fused_u,1,f1_optimal_eval,0.7761,0.7434,0.8061,0.1608,0.2675,0.445,0.1734,0.5845,3.6988,0.7761,0.8131,0.8067,0.6949,0.6272,0.8136,0.2675,0.1156,0.1177,0.1217,0.0628,0.9452,0.7809,0.0651,0.9406,0.7479
hyperparam,historical,12,2.0,False,True,domain,fused_u,1,f1_optimal_eval,0.6949,0.6643,0.7305,0.0938,0.0997,0.91,0.0525,1.0,23.9879,0.6949,0.8067,0.8067,0.6949,0.6272,0.8073,0.0997,0.0996,0.0997,0.0997,0.0524,1.0,0.9997,0.0524,1.0,0.9997
hyperparam,historical,24,0.1,True,True,domain,fused_u,1,f1_optimal_eval,0.8415,0.8081,0.8755,0.5022,0.6138,0.09,0.7296,0.5297,0.2607,0.8415,0.9086,0.8722,0.6379,0.7875,0.8988,0.6138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hyperparam,historical,24,0.1,False,True,domain,fused_u,1,f1_optimal_eval,0.6379,0.605,0.6756,0.0764,0.1448,0.945,0.0809,0.6849,10.3264,0.6379,0.8722,0.8722,0.6379,0.7875,0.8782,0.1448,0.0996,0.0997,0.0997,0.0524,1.0,0.9997,0.0524,1.0,0.9997
hyperparam,historical,24,0.25,True,True,domain,fused_u,1,f1_optimal_eval,0.8447,0.81,0.8777,0.5215,0.6299,0.195,0.7407,0.5479,0.2547,0.8447,0.8741,0.8454,0.6359,0.7188,0.8664,0.6299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hyperparam,historical,24,0.25,False,True,domain,fused_u,1,f1_optimal_eval,0.6359,0.5984,0.671,0.0773,0.1,0.985,0.0526,1.0,23.903,0.6359,0.8454,0.8454,0.6359,0.7188,0.8475,0.1,0.0996,0.0997,0.0997,0.0524,1.0,0.9997,0.0524,1.0,0.9997
hyperparam,historical,24,0.5,True,True,domain,fused_u,1,f1_optimal_eval,0.8443,0.8086,0.8771,0.4903,0.6121,0.305,0.725,0.5297,0.2668,0.8443,0.8594,0.8302,0.6301,0.6738,0.8556,0.6121,0.4628,0.5786,0.5509,0.5773,0.5799,0.0235,0.8,0.4201,0.0058
hyperparam,historical,24,0.5,False,True,domain,fused_u,1,f1_optimal_eval,0.6301,0.5998,0.6714,0.075,0.0998,0.98,0.0525,1.0,23.9515,0.6301,0.8302,0.8302,0.6301,0.6738,0.8314,0.0998,0.0996,0.0997,0.0997,0.0524,1.0,0.9997,0.0524,1.0,0.9997
hyperparam,historical,24,1.0,True,True,domain,fused_u,1,f1_optimal_eval,0.8216,0.7871,0.8541,0.274,0.4432,0.395,0.3742,0.5434,1.2067,0.8216,0.8331,0.814,0.6301,0.6438,0.8339,0.4432,0.1322,0.1367,0.1413,0.0739,0.9178,0.6367,0.0767,0.895,0.5963
hyperparam,historical,24,1.0,False,True,domain,fused_u,1,f1_optimal_eval,0.6301,0.5998,0.6714,0.075,0.0997,0.97,0.0525,1.0,23.9757,0.6301,0.814,0.814,0.6301,0.6438,0.8154,0.0997,0.0996,0.0997,0.0997,0.0524,1.0,0.9997,0.0524,1.0,0.9997
