strategy,window_k,decay_lambda,use_fusion,use_decay,physics_bounds_mode,auroc,auroc_ci_lo,auroc_ci_hi,auprc,best_f1,best_threshold,false_alarm_rate_per_day
composite,12,0.1,True,True,domain,0.8038,0.77,0.8363,0.2992,0.358,0.13,0.758
composite,12,0.1,False,True,domain,0.6372,0.6055,0.6766,0.0849,0.1588,0.84,2.1162
composite,12,0.25,True,True,domain,0.7824,0.7515,0.8124,0.2354,0.276,0.2,2.5346
composite,12,0.25,False,True,domain,0.6525,0.614,0.6865,0.1178,0.0999,0.95,23.9333
composite,12,0.5,True,True,domain,0.7405,0.7075,0.772,0.251,0.2472,0.3,2.9288
composite,12,0.5,False,True,domain,0.6537,0.6148,0.6864,0.1022,0.0998,0.95,23.9636
composite,12,1.0,True,True,domain,0.7048,0.6688,0.7376,0.2639,0.2609,0.45,0.0061
composite,12,1.0,False,True,domain,0.6537,0.6148,0.6864,0.1022,0.0997,0.91,23.9818
composite,12,2.0,True,True,domain,0.693,0.656,0.7272,0.2735,0.2761,0.51,0.2244
composite,12,2.0,False,True,domain,0.6537,0.6148,0.6864,0.1022,0.0997,0.91,23.9879
composite,24,0.1,True,True,domain,0.8035,0.7684,0.837,0.3845,0.4686,0.11,0.0788
composite,24,0.1,False,True,domain,0.6072,0.5647,0.6414,0.1451,0.1277,0.95,2.6741
composite,24,0.25,True,True,domain,0.7845,0.7529,0.8147,0.2402,0.2817,0.21,1.2976
composite,24,0.25,False,True,domain,0.602,0.5598,0.6382,0.0942,0.0999,0.95,23.9333
composite,24,0.5,True,True,domain,0.7406,0.7075,0.7721,0.2517,0.2491,0.3,2.8924
composite,24,0.5,False,True,domain,0.6018,0.5581,0.6383,0.0906,0.0998,0.95,23.9636
composite,24,1.0,True,True,domain,0.7048,0.6688,0.7376,0.2639,0.2609,0.45,0.0061
composite,24,1.0,False,True,domain,0.6018,0.5581,0.6383,0.0906,0.0997,0.91,23.9818
composite,24,2.0,True,True,domain,0.693,0.656,0.7272,0.2735,0.2761,0.51,0.2244
composite,24,2.0,False,True,domain,0.6854,0.4644,0.5415,0.0874,0.0997,0.91,23.9879
historical,1,0.1,True,True,calibration_percentile,0.7347,0.7034,0.7646,0.11,0.2075,0.46,6.7367
historical,1,0.1,False,True,calibration_percentile,0.7347,0.7034,0.7646,0.11,0.2075,0.46,6.7367
historical,1,0.25,True,True,calibration_percentile,0.7347,0.7034,0.7646,0.11,0.2075,0.46,6.7367
historical,1,0.25,False,True,calibration_percentile,0.7347,0.7034,0.7646,0.11,0.2075,0.46,6.7367
historical,1,0.5,True,True,calibration_percentile,0.7347,0.7034,0.7646,0.11,0.2075,0.46,6.7367
historical,1,0.5,False,True,calibration_percentile,0.7347,0.7034,0.7646,0.11,0.2075,0.46,6.7367
historical,1,1.0,True,True,calibration_percentile,0.7347,0.7034,0.7646,0.11,0.2075,0.46,6.7367
historical,1,1.0,False,True,calibration_percentile,0.7347,0.7034,0.7646,0.11,0.2075,0.46,6.7367
historical,1,2.0,True,True,calibration_percentile,0.7347,0.7034,0.7646,0.11,0.2075,0.46,6.7367
